ESTACAO	x	y	01.04.2015
2450011	538.5511994	7309.184411	3.9
2450021	573.6772999	7237.068603	0
2450024	600.9538337	7240.217013	0
2450025	570.8198027	7270.303994	0
2450026	588.0547526	7275.742183	0
2450031	591.2788369	7304.512491	0
2450034	578.1853844	7321.200513	0
2450036	593.387906	7316.679274	0
2450040	518.2380256	7291.510025	5.2
2450048	593.5551891	7342.146157	0
2450049	511.1036635	7239.476886	4
2450054	535.3556127	7249.401426	0
2450062	530.5086986	7343.526668	5.4
2451002	436.9626949	7340.098749	0
2451003	484.8427718	7253.867564	0.9
2451006	451.2161009	7334.618556	0
2451010	411.1469419	7242.515587	3.7
2451013	422.141506	7262.514893	5.9
2451014	434.0152011	7317.940799	2.6
2451015	432.1291794	7288.035569	9.4
2451017	457.3974239	7306.958322	0
2451020	403.3864378	7343.233126	3.7
2451021	403.9629073	7259.078453	24.1
2451022	446.1972682	7317.992323	0
2451023	456.3250112	7325.777592	6
2451026	415.9872481	7276.874523	10.4
2451027	433.350201	7244.856073	4.9
2451028	436.3900794	7242.655804	0.5
2451029	462.6390993	7243.859662	0.8
2451032	437.3141967	7261.484632	0.7
2451034	471.7064549	7253.846864	0
2451035	498.9897625	7250.554071	0
2451036	423.0851899	7274.700895	4.2
2451038	472.6711126	7277.101215	2.9
2451043	484.811278	7282.655903	4.9
2451044	405.7154806	7298.955972	5.1
2451046	449.2904925	7304.71702	0
2451047	469.5625105	7310.31145	2.1
2451049	425.8128171	7333.401782	2.7
2451051	466.5847151	7282.624158	3.4
2452000	328.0915117	7261.666009	10.3
2452001	304.6252476	7275.756841	0
2452007	360.7007919	7339.558957	24.1
2452008	388.4793809	7298.829724	0
2452009	299.4190869	7285.653772	8.5
2452010	320.1335276	7330.244516	14.1
2452011	317.759164	7278.150575	5.2
2452012	328.1603879	7256.128155	0
2452014	345.7234459	7313.931392	12.8
2452015	371.425955	7278.749246	3.7
2452016	378.7852369	7247.805479	6.3
2452019	351.5203391	7246.430533	1.5
2452029	335.3281212	7334.85876	7.5
2452033	304.17681	7307.87793	20.4
2452035	342.863395	7297.285935	12.4
2452040	332.5789183	7309.351281	8.3
2452041	374.3638606	7289.850849	5.3
2452042	393.616112	7290.010419	8.5
2452044	378.3402012	7298.745579	6.6
2452045	357.8492688	7319.59604	6.6
2452046	371.1009214	7314.185511	0
2452047	390.395277	7313.240853	6.1
2452051	336.44604	7239.613144	8.4
2452055	323.1763093	7250.526314	10
2453000	222.6244964	7324.24484	24.3
2453001	280.148193	7286.471895	0
2453008	251.7936301	7342.514972	29.2
2453009	263.3372786	7321.657072	15.2
2453010	264.5007801	7312.811744	42.9
2453012	267.4926222	7255.2395	20.6
2453013	287.4281355	7274.396812	6.9
2453014	290.8848854	7246.74985	6.9
2453016	293.801938	7323.240341	7.8
2453017	211.6811468	7263.055314	39.8
2453026	206.7611345	7256.299964	29.3
2453027	233.0428581	7257.941397	28.1
2453028	203.3466815	7273.966231	37.6
2453030	235.7402797	7275.727588	23.5
2453037	258.9601279	7280.581741	15.2
2453047	214.0368107	7296.361376	24.5
2453048	202.8055874	7299.454123	38.1
2453050	243.0144026	7321.303534	25.9
2453052	200.0490931	7333.763829	31.9
2453056	273.8517722	7237.615287	11.4
