stations	X	Y	x	y	01.04.2015	02.04.2015	03.04.2015	01.05.2015	02.05.2015	03.05.2015	01.06.2015	02.06.2015	03.06.2015	01.07.2015	02.07.2015	03.07.2015	01.08.2015	02.08.2015	03.08.2015	01.09.2015	02.09.2015	03.09.2015	01.10.2015
2351035	476520.461191705	7398895.67983478	476.520461191705	7398.89567983478	37	14.5	14.6	99.8	0	67.6	17.2	13.9	0	195.4	203.2	21.3	0	0	48	119.8	0	67.7	93.2
2351037	464305.357244605	7384478.71636178	464.305357244605	7384.47871636178	0	0	65	129	0	51.4	0	17.9	26.6	189.8	185.6	24.7	1.1	6.6	41.9	103.9	0	120.1	84.5
2351041	491861.855259243	7347985.42792635	491.861855259243	7347.98542792635	3	6.9	32.3	104.7	0	112.2	13.8	54	35.5	142.5	156.3	26	0	0	88.7	143.7	0	22.6	29.5
2351043	438813.331935068	7383286.79012724	438.813331935068	7383.28679012724	4.3	2.7	38.4	136.4	0.6	75.4	0	22	20.3	200.2	226.4	15.9	0	8.9	46.9	141.6	14.3	77.6	105.2
2351044	407072.135576031	7403048.71415019	407.072135576031	7403.04871415019	0	20.1	27.9	134.6	0	63.6	0	25.2	0	235.6	120.1	13.8	0	0	35.9	140.3	0	42.5	193.1
2351045	411103.594619098	7411931.17302141	411.103594619098	7411.93117302141	24.8	9	54.3	94.7	0	60.3	0	10.6	25.2	243.3	98.8	7.7	0	0	49.1	101.8	26.1	130.9	168.1
2353038	266523.579272492	7440263.69029986	266.523579272492	7440.26369029986	28.5	93.3	12.4	133.5	8.8	53.3	0	26.4	1.6	150	86.8	9.1	0	0	63.3	102.7	10.1	56.2	124.7
2353041	288113.535333776	7435047.01056628	288.113535333776	7435.04701056628	17.3	94.2	0	133	6.7	73.8	0	27.7	0	233.7	99.5	9.8	0	0	36.6	90.9	7.6	73.4	80.6
2353044	274818.996933421	7433744.0863081	274.818996933421	7433.7440863081	18	122	15	62	42	105	0	19	0	207	73	6	0	0	33	40	72	92	146
2353047	197710.124127956	7348126.76317383	197.710124127956	7348.12676317383	32.3	86	0	148	13.2	76.5	0	68.1	15.3	265	136.2	2.3	0	9.2	47.6	123.2	0	121.2	50.8
2448035	727596.991400025	7264186.2226657	727.596991400025	7264.1862226657	0	18.9	39.9	27.2	33.2	36.8	1.6	52.3	0	20.4	55.2	23	0	0	23.1	87.4	0	77.9	89.4
2448036	754858.336162484	7260386.48600764	754.858336162484	7260.38648600764	1	27.9	100.1	23.5	22.9	40.6	0	26	1.5	42.7	33	13.6	0	0	20.4	67.4	14.3	11.8	55.2
2448037	705270.909190837	7260103.26832037	705.270909190837	7260.10326832037	0	0	39.9	67.7	5.5	27.2	0	40.1	0	26.5	44.9	30	0	1.5	19.3	98.9	42.5	61.2	98.5
2449000	702398.23563105	7271224.82838568	702.39823563105	7271.22482838568	0.2	0	31.7	60.9	0.3	26.6	0	41.2	0	37.6	76.1	24.4	0	2.4	23.1	84.4	26.9	54.5	111.5
2449007	668874.242181755	7261703.37840726	668.874242181755	7261.70337840726	0	0	42.3	64.6	0	5.8	0	23.8	0	38.8	114.3	30.9	0	0	30.1	105.9	17.4	26.8	65.5
2449008	674844.597703928	7253874.88865027	674.844597703928	7253.87488865027	0	0	55.8	62.9	0.9	28.5	0	29.6	8	27.9	119.3	52.2	0	0	21.6	109.5	10	46.1	43.4
2449011	608384.657031446	7286672.84507527	608.384657031446	7286.67284507527	26.6	0	57.9	87.9	0	65.7	0	15.8	0	43.9	160	26	0	5.5	43.5	140.2	23.3	59.1	46.3
2449019	660542.803181425	7329367.93408711	660.542803181425	7329.36793408711	9	6	33.5	101.5	17.6	40	0	22.8	10	120.8	39	11.6	0	4.2	26.5	115.8	33.9	38.1	107.5
2449020	671632.200057607	7239514.38914115	671.632200057607	7239.51438914115	6	14.5	50.8	145.1	0	37.8	0	47.3	15	30.6	103.5	48.3	0	15.5	23.5	104.7	41.4	66.7	62.6
2449021	660001.110634448	7281746.7028132	660.001110634448	7281.7467028132	11.8	8.1	20.8	61.8	25.7	15.7	0	33.4	0	119	115.5	28	0	0	44.8	51.4	22.1	59.7	75.2
2449023	654590.737631685	7250793.8247997	654.590737631685	7250.7938247997	0	0	65.3	62.2	0	33.1	0	31.4	0	39.4	137.5	32.5	0	0	26.2	123.4	10.5	39	46.3
2449024	693817.171099481	7237002.87447703	693.817171099481	7237.00287447703	0	4.2	66.3	63.9	1.4	26.8	0	45.4	0.2	52.6	114.4	48.3	0	2.4	29.9	83.2	17.1	54.7	94.7
2449026	619136.683602648	7241178.58662568	619.136683602648	7241.17858662568	0	0	71.2	79.5	0	51.7	0	45.6	0	75.1	180.1	22.8	0	0	46.8	88.3	5.3	60.5	39.1
2449028	631433.143251838	7259894.6404381	631.433143251838	7259.8946404381	0	0	90.6	50.1	43.1	6.9	0	45.6	0	88	155.3	35.3	0	2.3	31.6	103.5	0	32	57.9
2449030	633604.707572044	7275379.33945092	633.604707572044	7275.37933945092	0	0	58.3	83.3	0	35.7	0	33.4	0	59.3	142.4	32.5	0	3	35	102.8	20.1	40.7	58.5
2449032	628676.048430339	7289823.23218517	628.676048430339	7289.82323218517	6.1	1.8	54.1	72.2	13.8	30.9	0.4	31.6	0	65.7	167.2	15.5	0	5.7	42	115.7	48.5	52.1	50.2
2449036	644012.249311339	7302964.37654093	644.012249311339	7302.96437654093	0	16.6	40.2	106.2	0	21.7	0	41.1	0	64.9	143.6	15.9	0	3.5	37.2	71.4	45.9	21.4	91.8
2449040	629944.648869676	7317498.30683717	629.944648869676	7317.49830683717	0	3.8	40.4	114.4	34.6	39.9	0	22.1	0	99.5	89.3	14	0	7.2	24.5	114.6	28.8	46.2	126.6
2449044	655509.862240806	7333854.03221066	655.509862240806	7333.85403221066	0	5	36	100.2	0.5	28.8	0	25.8	0	111	86.9	9.9	0	4	45.2	123	30.4	72.6	104.5
2449045	637244.109473313	7337363.92566187	637.244109473313	7337.36392566187	1.6	13.3	44.1	99.9	0	14.5	0	4.8	0	118.2	51.5	7.6	0	0	23	106.4	42.1	48.1	106.7
2449063	654441.220139279	7237503.47768727	654.441220139279	7237.50347768727	0	29	48.9	76.2	10.1	34.3	0	33.1	0	72.4	90.1	42.1	0	1.5	33.3	118.3	1.5	62.1	51.8
2450008	508123.629303413	7322520.89450447	508.123629303413	7322.52089450447	9.4	1.1	86.2	110.6	0	30.9	6.7	47.3	14.4	146	136.2	18.5	0	13.3	31.7	126.5	19.5	69.1	174.6
