stations	x	y	yield	01_04_2015	02_04_2015	03_04_2015	01_05_2015	02_05_2015	03_05_2015	01_06_2015	02_06_2015	03_06_2015	01_07_2015	02_07_2015	03_07_2015	01_08_2015	02_08_2015	03_08_2015	01_09_2015	02_09_2015	03_09_2015	01_10_2015
2351031	473.3684987	7448.707544	6.72	14.9	21.8	24.7	104.9	0	72.3	0	5.6	0	253.4	63	0	0	0	14.2	89.5	0	150.5	138.2
2351035	476.5204612	7398.89568	5.7	37	14.5	14.6	99.8	0	67.6	17.2	13.9	0	195.4	203.2	21.3	0	0	48	119.8	0	67.7	93.2
2351037	464.3053572	7384.478716	5.9	0	0	65	129	0	51.4	0	17.9	26.6	189.8	185.6	24.7	1.1	6.6	41.9	103.9	0	120.1	84.5
2351041	491.8618553	7347.985428	5	3	6.9	32.3	104.7	0	112.2	13.8	54	35.5	142.5	156.3	26	0	0	88.7	143.7	0	22.6	29.5
2351043	438.8133319	7383.28679	6.19	4.3	2.7	38.4	136.4	0.6	75.4	0	22	20.3	200.2	226.4	15.9	0	8.9	46.9	141.6	14.3	77.6	105.2
2351044	407.0721356	7403.048714	5.2	0	20.1	27.9	134.6	0	63.6	0	25.2	0	235.6	120.1	13.8	0	0	35.9	140.3	0	42.5	193.1
2351045	411.1035946	7411.931173	5.5	24.8	9	54.3	94.7	0	60.3	0	10.6	25.2	243.3	98.8	7.7	0	0	49.1	101.8	26.1	130.9	168.1
2353038	266.5235793	7440.26369	6.1	28.5	93.3	12.4	133.5	8.8	53.3	0	26.4	1.6	150	86.8	9.1	0	0	63.3	102.7	10.1	56.2	124.7
2353041	288.1135353	7435.047011	6	17.3	94.2	0	133	6.7	73.8	0	27.7	0	233.7	99.5	9.8	0	0	36.6	90.9	7.6	73.4	80.6
2353044	274.8189969	7433.744086	6.1	18	122	15	62	42	105	0	19	0	207	73	6	0	0	33	40	72	92	146
2353047	197.7101241	7348.126763	4.2	32.3	86	0	148	13.2	76.5	0	68.1	15.3	265	136.2	2.3	0	9.2	47.6	123.2	0	121.2	50.8
2448035	727.5969914	7264.186223	0	0	18.9	39.9	27.2	33.2	36.8	1.6	52.3	0	20.4	55.2	23	0	0	23.1	87.4	0	77.9	89.4
2448036	754.8583362	7260.386486	0	1	27.9	100.1	23.5	22.9	40.6	0	26	1.5	42.7	33	13.6	0	0	20.4	67.4	14.3	11.8	55.2
2448037	705.2709092	7260.103268	0	0	0	39.9	67.7	5.5	27.2	0	40.1	0	26.5	44.9	30	0	1.5	19.3	98.9	42.5	61.2	98.5
2449000	702.3982356	7271.224828	0	0.2	0	31.7	60.9	0.3	26.6	0	41.2	0	37.6	76.1	24.4	0	2.4	23.1	84.4	26.9	54.5	111.5
2449007	668.8742422	7261.703378	0	0	0	42.3	64.6	0	5.8	0	23.8	0	38.8	114.3	30.9	0	0	30.1	105.9	17.4	26.8	65.5
